provider,job_id,qpu_seconds,qpu_time_source,n,observable,expectation_value,std,ideal,absolute_error
IBM TREX + twirling,d8t25u5posuc738o2ehg,16.0,metrics.usage.quantum_seconds,120,MX_probe,0.6455957143122054,0.0030321107446183303,0.6976613207401708,0.05206560642796543
IBM TREX + twirling,d8t25u5posuc738o2ehg,16.0,metrics.usage.quantum_seconds,120,ZZ_probe,0.4443122209734003,0.003497143192224906,0.49792324720473036,0.05361102623133007
Q-CTRL,cbba293e-5e58-4f36-8f47-2c64e3fe0fe7,,unavailable,120,MZ_probe,0.004125,0.35347853630029646,1.0375925783512488e-13,0.004124999999896241
Q-CTRL,cbba293e-5e58-4f36-8f47-2c64e3fe0fe7,,unavailable,120,MX_probe,0.679925,0.25836701003611123,0.6976613207401708,0.01773632074017084
Q-CTRL,cbba293e-5e58-4f36-8f47-2c64e3fe0fe7,,unavailable,120,ZZ_probe,0.4739749999999999,0.31111936917363403,0.49792324720473036,0.023948247204730433
QESEM,a4ce15be-ae59-44a9-b011-4d2780d87c33,,unavailable,120,MZ_probe,-0.0012761982223305286,0.004753879963993338,1.0375925783512488e-13,0.0012761982224342879
QESEM,a4ce15be-ae59-44a9-b011-4d2780d87c33,,unavailable,120,MX_probe,0.7202119936993967,0.03982520159317066,0.6976613207401708,0.02255067295922586
QESEM,a4ce15be-ae59-44a9-b011-4d2780d87c33,,unavailable,120,ZZ_probe,0.4765986598013116,0.024593615913528252,0.49792324720473036,0.02132458740341875
IBM raw,d8tt4ddposuc738p9e4g,13.251206305,usage_estimation.quantum_seconds,130,MZ_probe,-0.05900000000000001,0.003524911275479143,7.495887508768721e-14,0.05900000000007497
IBM raw,d8tt4ddposuc738p9e4g,13.251206305,usage_estimation.quantum_seconds,130,MX_probe,0.6459,0.0026784813094363753,0.6976613207346324,0.051761320734632355
IBM raw,d8tt4ddposuc738p9e4g,13.251206305,usage_estimation.quantum_seconds,130,ZZ_probe,0.35795,0.0032496084379506403,0.49792324720472786,0.13997324720472787
IBM TREX + twirling,d8tttalbh0os73eq6ejg,20.113226014,usage_estimation.quantum_seconds,130,MZ_probe,-0.02669290142620517,0.0066242167697116265,7.495887508768721e-14,0.026692901426280127
IBM TREX + twirling,d8tttalbh0os73eq6ejg,20.113226014,usage_estimation.quantum_seconds,130,MX_probe,0.631996918758677,0.0036025593536580178,0.6976613207346324,0.06566440197595536
IBM TREX + twirling,d8tttalbh0os73eq6ejg,20.113226014,usage_estimation.quantum_seconds,130,ZZ_probe,0.3372391196278238,0.00399601876558334,0.49792324720472786,0.16068412757690403
Q-CTRL,fdc2aa2e-a8c8-4681-ac7f-d3d16560b6c2,,unavailable,130,MZ_probe,-0.016925,0.3533074679015432,7.495887508768721e-14,0.016925000000074956
Q-CTRL,fdc2aa2e-a8c8-4681-ac7f-d3d16560b6c2,,unavailable,130,MX_probe,0.6447250000000001,0.2684093760005414,0.6976613207346324,0.05293632073463228
Q-CTRL,fdc2aa2e-a8c8-4681-ac7f-d3d16560b6c2,,unavailable,130,ZZ_probe,0.3491,0.32477568412675234,0.49792324720472786,0.14882324720472784
IBM raw,d8tuvn5posuc738pbs2g,12.626930956,usage_estimation.quantum_seconds,140,MZ_probe,-0.0459,0.0034180772738485595,1.9014910186610362e-13,0.04590000000019015
IBM raw,d8tuvn5posuc738pbs2g,12.626930956,usage_estimation.quantum_seconds,140,MX_probe,0.601375,0.0028123656745700763,0.6976613207567716,0.09628632075677157
IBM raw,d8tuvn5posuc738pbs2g,12.626930956,usage_estimation.quantum_seconds,140,ZZ_probe,0.41655,0.0032122856154146694,0.49792324720472625,0.08137324720472627
IBM TREX + twirling,d8u0i0lposuc738pdsv0,19.319136347,usage_estimation.quantum_seconds,140,MZ_probe,0.009146803056830285,0.01217545087271363,1.9014910186610362e-13,0.009146803056640137
IBM TREX + twirling,d8u0i0lposuc738pdsv0,19.319136347,usage_estimation.quantum_seconds,140,MX_probe,0.5383355042961533,0.006922563181275807,0.6976613207567716,0.15932581646061827
